Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_BCA_LT-IP_01.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_BCA_LT-IP_02.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_BCA_LT-IP_03.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_BCA_LT-MockIP_01.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_BCA_LT-MockIP_02.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_BCA_LT-MockIP_03.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_Pepide-CBQCA_LT-IP_01.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_Pepide-CBQCA_LT-IP_02.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_Pepide-CBQCA_LT-IP_03.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_Pepide-CBQCA_LT-MockIP_01.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_Pepide-CBQCA_LT-MockIP_02.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_Pepide-CBQCA_LT-MockIP_03.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_BCA_LT-WCL_01.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_BCA_LT-WCL_02.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_BCA_LT-WCL_03.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_Pepide-CBQCA_LT-WCL_01.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_Pepide-CBQCA_LT-WCL_02.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_Pepide-CBQCA_LT-WCL_03.raw
Q8CJG0	Q8CJG0	AGO2_MOUSE	Ago2	Protein argonaute-2	6.84123e+07	5.6602e+07	4.73147e+07	7.31692e+07	5.75376e+07	6.26131e+07	8.03676e+07	6.13279e+07	3.91076e+07	5.41295e+07	5.71825e+07	5.72979e+07	1.31345e+08	1.10343e+08	1.19978e+08	1.18573e+08	1.12738e+08	1.15685e+08
Q8CJG0;Q8CJG1	Q8CJG1;Q8CJF9;Q8CJG0	AGO1_MOUSE;AGO2_MOUSE	Ago1;Ago2	Protein argonaute-2	1.63842e+06	1.04269e+06	803472	1.51319e+06	1.20897e+06	1.14581e+06	1.88132e+06	1.02974e+06	1.10208e+06	1.37399e+06	1.29391e+06	1.01099e+06	2.97305e+06	2.71986e+06	2.45679e+06	2.55376e+06	2.27427e+06	2.61936e+06
Q8JZK9	Q8JZK9	HMCS1_MOUSE	Hmgcs1	Hydroxymethylglutaryl-CoA synthase, cytoplasmic	477472	379046	305504	111086				279730	317423	338445	144586	166007	3.36932e+06	2.87088e+06	3.40881e+06	3.31309e+06	2.72447e+06	3.52602e+06
Q8JZM0	Q8JZM0	TFB1M_MOUSE	Tfb1m	Dimethyladenosine transferase 1, mitochondrial	1.09879e+07	1.19302e+07	1.10559e+07	1.31236e+07	1.3973e+07	1.48383e+07	1.0507e+07	1.20168e+07	1.05473e+07	1.19728e+07	1.38954e+07	1.45567e+07	1.86018e+06	2.47454e+06	1.71637e+06	2.70287e+06	2.68411e+06	1.30928e+06
Q8JZM7	Q8JZM7	CDC73_MOUSE	Cdc73	Parafibromin	2.59218e+06	1.1645e+06	665491	4.15066e+06	2.77912e+06	1.11345e+06	2.42008e+06	1.40896e+06	798673	4.66565e+06	3.33894e+06	1.27714e+06	6.6431e+06	7.30713e+06	7.13923e+06	6.64321e+06	7.21094e+06	6.93513e+06
Q8JZN5	Q8JZN5	ACAD9_MOUSE	Acad9	Complex I assembly factor ACAD9, mitochondrial	5.96419e+07	6.96959e+07	6.94488e+07	4.48941e+07	5.49859e+07	5.6819e+07	5.42827e+07	6.93187e+07	6.85035e+07	4.70371e+07	5.31634e+07	5.43301e+07	1.25146e+07	1.25972e+07	1.16083e+07	1.30844e+07	1.28555e+07	1.20195e+07
Q8JZN7	Q8JZN7	MIRO2_MOUSE	Rhot2	Mitochondrial Rho GTPase 2	1.56817e+07	1.77022e+07	1.79078e+07	9.8364e+06	1.55206e+07	1.75613e+07	1.47189e+07	1.67145e+07	1.89149e+07	1.31846e+07	1.59681e+07	1.77245e+07	2.84108e+06	3.33975e+06	2.22413e+06	2.66593e+06	3.05192e+06	2.49314e+06
Q8JZQ2	Q8JZQ2	AFG32_MOUSE	Afg3l2	AFG3-like protein 2	3.353e+07	4.03014e+07	4.08923e+07	3.9093e+07	4.7271e+07	5.31078e+07	2.86168e+07	3.98002e+07	3.92083e+07	4.00503e+07	4.88152e+07	5.25247e+07	6.6107e+06	7.19118e+06	6.38432e+06	5.7784e+06	7.02654e+06	6.33851e+06
Q8JZQ2;Q920A7	Q8JZQ2;Q920A7;Q920A7-2	AFG31_MOUSE;AFG32_MOUSE	Afg3l1;Afg3l2	AFG3-like protein 2	4.046e+06	7.42282e+06	3.74494e+06	7.33712e+06	7.53301e+06	9.55759e+06	4.01319e+06	6.16028e+06	6.66058e+06	4.8597e+06	5.64353e+06	8.91131e+06	1.35762e+06	1.78443e+06	1.31234e+06	1.60202e+06	1.73839e+06	1.82556e+06
Q8JZQ9	Q8JZQ9	EIF3B_MOUSE	Eif3b	Eukaryotic translation initiation factor 3 subunit B	1.14749e+07	9.67851e+06	9.46874e+06	7.76613e+06	8.06439e+06	8.36961e+06	1.03291e+07	9.95169e+06	9.92452e+06	8.08701e+06	8.85218e+06	8.05543e+06	2.44171e+07	2.324e+07	2.48075e+07	2.50842e+07	2.30215e+07	2.58171e+07
Q8JZR0	Q8JZR0	ACSL5_MOUSE	Acsl5	Long-chain-fatty-acid--CoA ligase 5	5.96507e+06	6.91608e+06	6.00883e+06	3.86754e+06	4.97457e+06	4.7328e+06	8.81142e+06	6.61335e+06	5.82873e+06	5.54401e+06	4.28022e+06	5.79501e+06	4.26818e+06	4.83156e+06	4.45942e+06	4.66121e+06	4.48212e+06	4.38005e+06
Q8JZS9	Q8JZS9	RM48_MOUSE	Mrpl48	39S ribosomal protein L48, mitochondrial	1.38622e+07	1.56596e+07	1.45382e+07	1.72305e+07	1.39206e+07	1.80384e+07	1.33626e+07	1.52985e+07	1.49966e+07	1.64318e+07	1.78898e+07	1.77668e+07	4.90183e+06	3.87625e+06	5.33433e+06	5.30433e+06	4.95389e+06	4.18548e+06
Q8JZU2	Q8JZU2	TXTP_MOUSE	Slc25a1	Tricarboxylate transport protein, mitochondrial	5.31256e+07	6.23467e+07	5.91618e+07	3.5241e+07	4.41234e+07	4.30811e+07	4.19772e+07	5.78613e+07	5.53329e+07	3.05214e+07	4.51637e+07	4.21647e+07	9.93702e+06	1.05161e+07	9.13867e+06	1.00282e+07	9.62988e+06	8.69516e+06
Q8JZV7	Q8JZV7	NAGA_MOUSE	Amdhd2	N-acetylglucosamine-6-phosphate deacetylase										2.57006e+06		1.65116e+06	973603	250215	396589	657508	596676	656919
Q8JZX3	Q8JZX3;Q8JZX3-2;Q8JZX3-3	POC1A_MOUSE	Poc1a	POC1 centriolar protein homolog A	1.5604e+07	7.68929e+06	5.68214e+06	3.12522e+07	2.26807e+07	8.8739e+06	1.53243e+07	7.58959e+06	6.04754e+06	3.57381e+07	2.27097e+07	8.00117e+06	1.01136e+06	821637	784405	1.34721e+06	767018	1.10562e+06
Q8JZX4	Q8JZX4	SPF45_MOUSE	Rbm17	Splicing factor 45	1.25382e+07	3.67137e+06	2.1767e+06	1.59828e+07	1.07656e+07	3.82025e+06	1.23533e+07	4.10486e+06	2.11815e+06	1.68875e+07	1.00353e+07	3.28781e+06	1.16233e+07	1.39466e+07	1.34553e+07	1.1758e+07	1.33073e+07	1.24101e+07
Q8JZY4	Q8JZY4	MRPP3_MOUSE	Prorp	Mitochondrial ribonuclease P catalytic subunit	1.90085e+06	2.3088e+06	2.5457e+06	982044	854598	729200	1.59492e+06	2.5745e+06	2.32535e+06	1.00308e+06	966455	1.13716e+06	445570	375002	473036	506296	362778	296337
Q8JZZ6	Q8JZZ6	AMERL_MOUSE	Ammecr1l	AMMECR1-like protein	282118	346985	370798		296023		771915	263841	177316	353414	163378	40339	321353	443063	545308	642548	539668	364862
Q8JZZ7;Q8JZZ7-2	Q8JZZ7;Q8JZZ7-2	AGRL2_MOUSE	Adgrl2	Adhesion G protein-coupled receptor L2	7.69282e+06	5.18298e+06	5.79858e+06	4.28496e+06	3.1682e+06	3.07934e+06	6.88256e+06	5.63422e+06	5.9271e+06	4.84189e+06	3.21495e+06	3.31741e+06	5.93213e+06	5.86281e+06	5.93397e+06	6.55475e+06	6.14548e+06	5.58694e+06
Q8K003	Q8K003	TMA7_MOUSE	Tma7	Translation machinery-associated protein 7	146502	6489.65	22741.8				83998.1		1937.78		145932		1.08028e+06	1.08507e+06	1.58794e+06	952761	1.15521e+06	1.33594e+06
Q8K007	Q8K007	SULF1_MOUSE	Sulf1	Extracellular sulfatase Sulf-1	6.35775e+06	4.15926e+06	3.7599e+06	1.24214e+06	1.23727e+06	1.26603e+06	4.7314e+06	3.06991e+06	3.41832e+06	1.69567e+06	615274	501740	1.61624e+06	2.13985e+06	2.18966e+06	2.11394e+06	2.41162e+06	1.96081e+06
Q8K009	Q8K009	AL1L2_MOUSE	Aldh1l2	Mitochondrial 10-formyltetrahydrofolate dehydrogenase	4.08412e+07	4.60091e+07	4.58924e+07	3.09963e+07	3.57405e+07	3.84622e+07	3.69203e+07	4.69192e+07	4.54725e+07	3.13481e+07	3.63505e+07	3.7829e+07	9.38871e+06	9.02306e+06	8.18775e+06	9.59915e+06	9.29626e+06	8.06105e+06
Q8K009;Q8R0Y6	Q8R0Y6;Q8K009	AL1L1_MOUSE;AL1L2_MOUSE	Aldh1l1;Aldh1l2	Mitochondrial 10-formyltetrahydrofolate dehydrogenase	5.27796e+07	6.57401e+07	6.91008e+07	4.19536e+07	5.31713e+07	5.86059e+07	5.45387e+07	6.79839e+07	6.77558e+07	4.40587e+07	4.92904e+07	5.0492e+07	1.627e+07	1.06277e+07	1.44707e+07	1.52363e+07	1.13751e+07	1.35442e+07
Q8K012;Q8K012-2	Q8K012;Q8K012-2	FBP1L_MOUSE	Fnbp1l	Formin-binding protein 1-like		390994	264792	514943					243171		299424	144034	995282	563189	586484	712921	617520	751997
Q8K013	Q8K013	GTPBA_MOUSE	Gtpbp10	GTP-binding protein 10	4.92552e+06	5.54218e+06	6.08699e+06	2.51093e+06	3.7778e+06	4.25214e+06	3.81932e+06	4.84384e+06	5.38723e+06	2.92589e+06	3.13793e+06	3.66894e+06	530109	843985	825099	1.06876e+06	1.18072e+06	1.02229e+06
Q8K019;Q8K019-2	Q8K019;Q8K019-2	BCLF1_MOUSE	Bclaf1	Bcl-2-associated transcription factor 1	1.40377e+07	7.69136e+06	4.30993e+06	1.50149e+07	1.23016e+07	7.82873e+06	1.39224e+07	7.92225e+06	4.64185e+06	1.56322e+07	1.25006e+07	7.33652e+06	3.19701e+07	3.35997e+07	3.131e+07	3.10367e+07	3.45469e+07	3.10523e+07
Q8K021	Q8K021	SCAM1_MOUSE	Scamp1	Secretory carrier-associated membrane protein 1	1.48681e+07	9.51471e+06	7.75116e+06	1.37226e+07	8.71715e+06	8.95823e+06	8.83986e+06	6.23676e+06	6.9699e+06	1.13836e+07	8.82388e+06	9.08398e+06	4.46457e+06	4.47932e+06	4.32042e+06	5.80103e+06	4.87967e+06	4.21836e+06
Q8K023;Q8K023-2	Q91WR5;Q8K023;Q8K023-2	AKC1H_MOUSE	Akr1c18	Aldo-keto reductase family 1 member C18	481297			6.20666e+06			197265			4.45218e+06								
Q8K039	Q8K039	K1143_MOUSE		Uncharacterized protein KIAA1143 homolog													49011.5		24716.3	127520	55793	46729.9
Q8K057;Q8K057-2	Q8K057;Q8K057-2	IFT80_MOUSE	Ift80	Intraflagellar transport protein 80 homolog	107951	27809.1	41061.7		67438	56575.4	279322	23026.2	11665.8	22045.8	99787.5	39703	214690	165535	196654	237723	174641	234503
Q8K072	Q8K072	REEP4_MOUSE	Reep4	Receptor expression-enhancing protein 4	3.3997e+06	2.96193e+06	2.41659e+06	2.10117e+06	2.55805e+06	1.4414e+06	2.00017e+06	2.16947e+06	2.86223e+06	2.38369e+06	1.62854e+06	386422	3.27212e+06	2.98319e+06	2.80078e+06	2.80478e+06	3.48831e+06	3.17767e+06
Q8K078;Q8K078-2	Q8K078;Q8K078-2	SO4A1_MOUSE	Slco4a1	Solute carrier organic anion transporter family member 4A1	400662	214092	149292	1.29104e+06	1.11437e+06	902427	374286		92193.4	887563	877119	1.04426e+06		228242				
Q8K0B2;Q8K0B2-2;Q8K0B2-3	Q8K0B2;Q8K0B2-2;Q8K0B2-3	LMBD1_MOUSE	Lmbrd1	Lysosomal cobalamin transport escort protein LMBD1	6.43019e+06	2.40586e+06	1.71312e+06	142960	238848	77658.6	3.12231e+06	2.40361e+06	2.17898e+06			316683	571608	307307	533041	407198	439432	410497
Q8K0C1;Q8K0C1-2	Q8K0C1;Q8K0C1-2	IPO13_MOUSE	Ipo13	Importin-13													167182	107537	95638.4	126907	70012.4	122964
Q8K0C4	Q8K0C4	CP51A_MOUSE	Cyp51a1	Lanosterol 14-alpha demethylase	4.56159e+07	4.79939e+07	3.99605e+07	1.45715e+07	1.34109e+07	1.39549e+07	3.06212e+07	4.55239e+07	3.80192e+07	1.57935e+07	1.55758e+07	1.48971e+07	3.5077e+07	3.93482e+07	3.43862e+07	3.53368e+07	3.66504e+07	3.3135e+07
Q8K0C8	Q8K0C8	COX19_MOUSE	Cox19	Cytochrome c oxidase assembly protein COX19	204629	882708	597225	303630	550515	482734		625558	518445	632872	453731	430239						144436
Q8K0C9	Q8K0C9	GMDS_MOUSE	Gmds	GDP-mannose 4,6 dehydratase	565263	213451			550669	77790.6	803454		182244	220413			5.23609e+06	4.34658e+06	4.54728e+06	4.70621e+06	3.80623e+06	4.33082e+06
Q8K0D0;Q8K0D0-2	Q8K0D0;Q8K0D0-2	CDK17_MOUSE	Cdk17	Cyclin-dependent kinase 17	2.85788e+06	1.04983e+06	1.28902e+06	3.77206e+06	3.1753e+06	957058	2.80438e+06	1.48858e+06	1.16783e+06	4.07815e+06	2.63207e+06	1.17152e+06	1.04804e+06	805443	785398	1.10523e+06	925309	851397
Q8K0D5	Q8K0D5	EFGM_MOUSE	Gfm1	Elongation factor G, mitochondrial	5.34437e+07	6.319e+07	6.33989e+07	4.07655e+07	4.55732e+07	4.89598e+07	4.67849e+07	6.07434e+07	6.28997e+07	3.86937e+07	4.71902e+07	4.88391e+07	1.0746e+07	1.10482e+07	1.02716e+07	1.08201e+07	1.12244e+07	1.09149e+07
Q8K0D7	Q8K0D7	GET1_MOUSE	Get1	Guided entry of tail-anchored proteins factor 1	4.89557e+06	4.7935e+06	3.58599e+06	6.18146e+06	7.29439e+06	6.82681e+06	5.41723e+06	4.46689e+06	3.3892e+06	3.50103e+06	6.52864e+06	6.66254e+06	3.88917e+06	3.29141e+06	3.52952e+06	4.07027e+06	3.0745e+06	3.10136e+06
Q8K0G5	Q8K0G5	EIPR1_MOUSE	Eipr1	EARP and GARP complex-interacting protein 1	841395									420175			3.14096e+06	2.53849e+06	2.50166e+06	3.1762e+06	2.31493e+06	3.02727e+06
Q8K0H5	Q8K0H5	TAF10_MOUSE	Taf10	Transcription initiation factor TFIID subunit 10		224166		1.2172e+06		153341			50753.6	1.31161e+06	183586			277333	112257	280180		260386
Q8K0S9	Q8K0S9	SNPC1_MOUSE	Snapc1	snRNA-activating protein complex subunit 1	186382		29129	384282	553312	165756	221487	119469	58284.6	699867	549633	96868.2						
Q8K0V4	Q8K0V4	CNOT3_MOUSE	Cnot3	CCR4-NOT transcription complex subunit 3	2.33568e+06	1.53566e+06	1.4785e+06	2.62287e+06	2.44248e+06	1.76215e+06	1.9841e+06	1.53993e+06	1.53428e+06	2.92711e+06	2.51177e+06	2.02846e+06	4.29233e+06	4.34224e+06	4.08533e+06	3.97874e+06	3.99881e+06	3.84431e+06
Q8K0X8	Q8K0X8	FEZ1_MOUSE	Fez1	Fasciculation and elongation protein zeta-1													150356	201908	208003	180694	192163	309078
Q8K0Z7	Q8K0Z7	TACO1_MOUSE	Taco1	Translational activator of cytochrome c oxidase 1	8.7103e+06	1.02391e+07	1.03298e+07	8.39013e+06	1.13129e+07	1.12095e+07	9.07059e+06	1.03775e+07	1.02534e+07	8.49815e+06	1.10394e+07	1.05225e+07	2.11329e+06	1.65046e+06	2.21719e+06	1.93985e+06	1.95025e+06	1.68707e+06
Q8K114	Q8K114	INT9_MOUSE	Ints9	Integrator complex subunit 9	357002	41280.2	156923	219954	380100					650547	187578		720258	779169	692805	818156	1.03801e+06	950807
Q8K114;Q8K114-2	Q8K114;Q8K114-2	INT9_MOUSE	Ints9	Integrator complex subunit 9	402822	448205			1.93844e+06			173215		529538	214971	322892	2.63735e+06	2.17507e+06	1.93947e+06	2.45609e+06	2.37747e+06	2.29159e+06
Q8K120;Q8K120-2	Q8K120;Q8K120-2	NFAC4_MOUSE	Nfatc4	Nuclear factor of activated T-cells, cytoplasmic 4		33923.2											399825	349716	384889	509636	333252	268163
Q8K124	Q8K124	PKHO2_MOUSE	Plekho2	Pleckstrin homology domain-containing family O member 2	1.16184e+06	754187	550985	842324	1.43488e+06	749002	591336	1.28131e+06	568950	2.0143e+06	112884		2.44795e+06	2.89364e+06	2.81965e+06	2.24088e+06	2.42683e+06	2.64692e+06
Q8K126	Q8K126	RF1M_MOUSE	Mtrf1	Peptide chain release factor 1, mitochondrial	2.12801e+06	2.79965e+06	2.44955e+06	1.695e+06	2.4364e+06	2.8541e+06	2.27162e+06	2.74586e+06	2.47131e+06	2.69554e+06	2.49487e+06	2.39564e+06	813051	348876	367381	647153	671209	391116
Q8K135;Q8K135-2	Q8K135;Q8K135-2	K319L_MOUSE	Kiaa0319l	Dyslexia-associated protein KIAA0319-like protein	890935	532023	386208		270272	348970	1.0936e+06	568899	352880	419359	233466	211110	430511	296491	439538	340403	85370	236257
Q8K136;Q8K136-3	Q8K136;Q8K136-3	SCNM1_MOUSE	Scnm1	Sodium channel modifier 1	397128	199264	123299	548552	322895	169143	163823		54889.6		484529		440267	299893	477978	705481	367663	251963
Q8K183	Q8K183	PDXK_MOUSE	Pdxk	Pyridoxal kinase													1.3598e+06	1.11001e+06	1.40013e+06	1.43542e+06	1.13459e+06	1.15671e+06
Q8K190	Q8K190	SMDC1_MOUSE	Saysd1	SAYSvFN domain-containing protein 1	820333	542133	398650	862723	1.35163e+06	1.32447e+06		578687	317473	1.12087e+06	1.37667e+06	1.22858e+06	544791	761623	877202	881939	1.51493e+06	344940
Q8K194	Q8K194;Q8K194-2	SNR27_MOUSE	Snrnp27	U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein	2.53719e+06	1.70546e+06	2.93441e+06	3.45091e+06	1.02218e+06	1.67616e+06	2.36328e+06	1.36272e+06		1.71823e+06			4.48979e+06	5.1666e+06	4.85304e+06	5.11585e+06	6.31831e+06	4.39445e+06
Q8K199	Q8K199	COXM2_MOUSE	Cmc2	COX assembly mitochondrial protein 2 homolog	1.91327e+06	3.57064e+06	2.32928e+06	3.94731e+06	2.9907e+06	3.55938e+06	1.80378e+06	3.88112e+06	2.54692e+06	3.78399e+06	2.76984e+06	3.53244e+06	409743	663022	628237	404215	367410	690623
Q8K1A5	Q8K1A5	TM41B_MOUSE	Tmem41b	Transmembrane protein 41B	1.75188e+06	2.05587e+06	1.90211e+06	1.99905e+06	3.18339e+06	2.94131e+06	1.63299e+06	2.34519e+06	1.59484e+06	2.48041e+06	3.20203e+06	2.74868e+06	1.27764e+06	1.29961e+06	1.13223e+06	1.20451e+06	1.15313e+06	1.30127e+06
Q8K1A6	Q8K1A6	C2D1A_MOUSE	Cc2d1a	Coiled-coil and C2 domain-containing protein 1A	499292	375482	233911					199300			218428		675388	585309	836400	847375	760395	715656
Q8K1C0;Q8K1C0-2	Q8K1C0;Q8K1C0-2;Q8K1C0-3	ANGE2_MOUSE	Angel2	Protein angel homolog 2	1.93214e+06	3.19368e+06	3.58159e+06	3.86542e+06	6.36172e+06	6.86536e+06	2.68058e+06	3.49713e+06	2.99512e+06	3.90501e+06	6.2098e+06	6.6087e+06	1.10572e+06	1.27046e+06	581114	1.02372e+06	908309	1.00654e+06
Q8K1C9	Q8K1C9	LRC41_MOUSE	Lrrc41	Leucine-rich repeat-containing protein 41	314287	94114.8	137005	207775	64686.4			44090.3		314351	211855	107914	378827	391790	461704	539200	434078	444712
Q8K1E0	Q8K1E0;Q8K1E0-2	STX5_MOUSE	Stx5	Syntaxin-5	9.00111e+06	4.51066e+06	3.68232e+06	6.17905e+06	4.83967e+06	3.19341e+06	7.15405e+06	4.70792e+06	3.48576e+06	6.30587e+06	4.5622e+06	3.30249e+06	3.81285e+06	3.52371e+06	2.99485e+06	3.57315e+06	3.44125e+06	3.3128e+06
Q8K1G2	Q8K1G2	LBN_MOUSE	Evc2	Limbin	1.11849e+06	1.17096e+06	996458	979461	645918	437697	1.29383e+06	952568	829479	878778	393103	640188	477349	653069	575149	573721	470466	489124
Q8K1J5	Q8K1J5	SDE2_MOUSE	Sde2	Replication stress response regulator SDE2	359513	356564	262008	219143	602738	443419	446490	276059	286929	315046	741608	605448	1.26093e+06	936781	816253	536313	576280	949397
Q8K1J6	Q8K1J6	TRNT1_MOUSE	Trnt1	CCA tRNA nucleotidyltransferase 1, mitochondrial	1.39413e+07	1.72008e+07	1.53877e+07	1.17977e+07	1.46562e+07	1.41936e+07	1.13602e+07	1.64791e+07	1.48786e+07	1.15381e+07	1.4606e+07	1.50363e+07	6.32032e+06	4.93116e+06	5.43531e+06	5.76918e+06	5.11465e+06	4.95495e+06
Q8K1K4	Q8K1K4	CENPI_MOUSE	Cenpi	Centromere protein I													91233.3	113420	119787	45275.4	55053.1	54561.2
Q8K1L5	Q8K1L5	PP1RB_MOUSE	Ppp1r11	E3 ubiquitin-protein ligase PPP1R11													523039	649897	391855	639580	331078	596340
Q8K1M6-3	Q8K1M6;Q8K1M6-2;Q8K1M6-3;Q8K1M6-4	DNM1L_MOUSE	Dnm1l	Isoform 3 of Dynamin-1-like protein	1.06901e+06	1.04018e+06	330085	1.45532e+06	1.13878e+06	392877	1.23496e+06	744392	729503	1.04508e+06	1.32196e+06	289200	4.73174e+06	3.97519e+06	4.47923e+06	4.62896e+06	3.25107e+06	3.98744e+06
Q8K1N1	Q8K1N1	PLPL8_MOUSE	Pnpla8	Calcium-independent phospholipase A2-gamma	2.01644e+06	2.6662e+06	2.59692e+06	9.06309e+06	9.0128e+06	1.17245e+07	1.93765e+06	2.98393e+06	2.6702e+06	9.32332e+06	9.73644e+06	1.07422e+07	737966	2.24587e+06	886994	620787	1.26071e+06	517945
Q8K1N2;Q8K1N2-2	Q8K1N2;Q8K1N2-2	PHLB2_MOUSE	Phldb2	Pleckstrin homology-like domain family B member 2	3.43824e+06	2.88608e+06	2.73499e+06	3.29326e+06	1.79901e+06	1.3186e+06	2.46061e+06	2.66279e+06	3.09864e+06	2.43431e+06	954088	723966	2.12981e+06	1.94895e+06	1.92404e+06	1.60366e+06	1.9011e+06	1.84568e+06
Q8K1N4	Q8K1N4	SPAS2_MOUSE	Spats2	Spermatogenesis-associated serine-rich protein 2	2.37715e+06	676054	527532	1.85503e+06	2.13341e+06	1.11775e+06	1.99189e+06	743563	677472	1.92473e+06	2.01441e+06	1.11327e+06	3.19907e+06	2.88562e+06	3.02634e+06	3.0781e+06	2.93728e+06	3.38173e+06
Q8K1R3	Q8K1R3;Q8K1R3-2	PNPT1_MOUSE	Pnpt1	Polyribonucleotide nucleotidyltransferase 1, mitochondrial	5.62882e+07	6.39903e+07	6.26878e+07	6.60457e+07	7.84031e+07	8.36159e+07	5.3354e+07	6.51007e+07	6.26888e+07	6.57403e+07	7.83523e+07	8.35334e+07	1.12631e+07	1.07655e+07	1.03935e+07	1.12173e+07	1.17651e+07	1.03572e+07
Q8K1R7	Q8K1R7	NEK9_MOUSE	Nek9	Serine/threonine-protein kinase Nek9	531479	692073	383719	2.85731e+06	1.80609e+06	561339	620543	117198	147671	1.074e+06	1.66039e+06	571489	2.97067e+06	1.61958e+06	3.19281e+06	3.03234e+06	2.67763e+06	2.69496e+06
Q8K1S3;Q8K1S3-2	Q8K1S3;Q8K1S3-2	UNC5B_MOUSE	Unc5b	Netrin receptor UNC5B	6.32969e+06	3.83091e+06	3.89987e+06	364433	935798	1.10068e+06	4.81015e+06	3.51161e+06	3.66974e+06	829753	752923	1.27321e+06	2.05085e+06	2.30262e+06	1.81939e+06	2.50453e+06	2.0541e+06	1.84111e+06
Q8K1X1	Q8K1X1	WDR11_MOUSE	Wdr11	WD repeat-containing protein 11	323948	160751	177278	83424.7	201222	160649		303842	243092	348474	310895	214193	925442	673166	622535	745707	644055	700861
Q8K1Z0	Q8K1Z0	COQ9_MOUSE	Coq9	Ubiquinone biosynthesis protein COQ9, mitochondrial	1.13208e+06	1.95084e+06	2.16339e+06	2.02896e+06	1.17862e+06	2.75129e+06	863745	2.56991e+06	2.6381e+06	980293	1.26215e+06	3.13094e+06	178478	230736	510405	187025	320098	668168
Q8K201	Q8K201	KCT2_MOUSE	Kct2	Keratinocyte-associated transmembrane protein 2	8.67541e+06	6.07583e+06	6.21506e+06	4.51117e+06	3.44253e+06	4.82246e+06	7.77397e+06	6.7846e+06	5.96136e+06	4.55189e+06	3.87332e+06	4.15359e+06	3.16893e+06	2.03895e+06	2.80771e+06	3.86937e+06	2.38747e+06	3.59419e+06
Q8K202;Q8K202-2	Q8K202;Q8K202-2;Q8K202-3	RPA49_MOUSE	Polr1e	DNA-directed RNA polymerase I subunit RPA49	1.9985e+06	825646	302029	4.2594e+06	3.16844e+06	822858	2.75807e+06	1.2234e+06	1.37959e+06	3.75958e+06	2.23636e+06	1.59518e+06	5.54049e+06	5.48652e+06	4.72781e+06	5.7186e+06	5.99283e+06	5.4463e+06
Q8K211	Q8K211	COPT1_MOUSE	Slc31a1	High affinity copper uptake protein 1	1.86102e+07	8.27228e+06	7.22431e+06	1.55695e+06	6.08697e+06	2.69565e+06	1.66905e+07	6.39343e+06	5.33198e+06	3.79568e+06	2.89766e+06	3.17178e+06	1.46261e+06		587116	2.49135e+06	2.02724e+06	
Q8K212	Q8K212	PACS1_MOUSE	Pacs1	Phosphofurin acidic cluster sorting protein 1		470993				5.90637e+06				1.31658e+06			3.74689e+06	2.97671e+06	3.41195e+06	2.9815e+06	2.89018e+06	2.94201e+06
Q8K215	Q8K215	LYRM4_MOUSE	Lyrm4	LYR motif-containing protein 4	3.35112e+07	5.34845e+07	5.18203e+07	5.053e+07	3.82434e+07	5.45724e+07	3.74758e+07	5.31516e+07	5.37824e+07	4.99278e+07	3.94923e+07	5.74214e+07	9.74837e+06	1.03443e+07	9.84538e+06	1.15626e+07	9.70928e+06	1.01005e+07
Q8K221	Q8K221	ARFP2_MOUSE	Arfip2	Arfaptin-2	167073	23122	51611.1					60250	20004.5				134696	269591	278452	60093.4	120766	257203
